date_id,date,year,quarter,month,month_name,week,day,day_name,is_weekend,fiscal_year
87,2022-03-28,2022,1,3,March,13,28,Monday,False,2021
88,2022-03-29,2022,1,3,March,13,29,Tuesday,False,2021
89,2022-03-30,2022,1,3,March,13,30,Wednesday,False,2021
90,2022-03-31,2022,1,3,March,13,31,Thursday,False,2021
91,2022-04-01,2022,2,4,April,13,1,Friday,False,2022
92,2022-04-02,2022,2,4,April,13,2,Saturday,True,2022
93,2022-04-03,2022,2,4,April,13,3,Sunday,True,2022
94,2022-04-04,2022,2,4,April,14,4,Monday,False,2022
95,2022-04-05,2022,2,4,April,14,5,Tuesday,False,2022
96,2022-04-06,2022,2,4,April,14,6,Wednesday,False,2022
97,2022-04-07,2022,2,4,April,14,7,Thursday,False,2022
98,2022-04-08,2022,2,4,April,14,8,Friday,False,2022
99,2022-04-09,2022,2,4,April,14,9,Saturday,True,2022
100,2022-04-10,2022,2,4,April,14,10,Sunday,True,2022
101,2022-04-11,2022,2,4,April,15,11,Monday,False,2022
102,2022-04-12,2022,2,4,April,15,12,Tuesday,False,2022
103,2022-04-13,2022,2,4,April,15,13,Wednesday,False,2022
104,2022-04-14,2022,2,4,April,15,14,Thursday,False,2022
105,2022-04-15,2022,2,4,April,15,15,Friday,False,2022
106,2022-04-16,2022,2,4,April,15,16,Saturday,True,2022
107,2022-04-17,2022,2,4,April,15,17,Sunday,True,2022
108,2022-04-18,2022,2,4,April,16,18,Monday,False,2022
109,2022-04-19,2022,2,4,April,16,19,Tuesday,False,2022
110,2022-04-20,2022,2,4,April,16,20,Wednesday,False,2022
111,2022-04-21,2022,2,4,April,16,21,Thursday,False,2022
112,2022-04-22,2022,2,4,April,16,22,Friday,False,2022
113,2022-04-23,2022,2,4,April,16,23,Saturday,True,2022
114,2022-04-24,2022,2,4,April,16,24,Sunday,True,2022
115,2022-04-25,2022,2,4,April,17,25,Monday,False,2022
116,2022-04-26,2022,2,4,April,17,26,Tuesday,False,2022
117,2022-04-27,2022,2,4,April,17,27,Wednesday,False,2022
118,2022-04-28,2022,2,4,April,17,28,Thursday,False,2022
119,2022-04-29,2022,2,4,April,17,29,Friday,False,2022
120,2022-04-30,2022,2,4,April,17,30,Saturday,True,2022
121,2022-05-01,2022,2,5,May,17,1,Sunday,True,2022
122,2022-05-02,2022,2,5,May,18,2,Monday,False,2022
123,2022-05-03,2022,2,5,May,18,3,Tuesday,False,2022
124,2022-05-04,2022,2,5,May,18,4,Wednesday,False,2022
125,2022-05-05,2022,2,5,May,18,5,Thursday,False,2022
126,2022-05-06,2022,2,5,May,18,6,Friday,False,2022
127,2022-05-07,2022,2,5,May,18,7,Saturday,True,2022
128,2022-05-08,2022,2,5,May,18,8,Sunday,True,2022
129,2022-05-09,2022,2,5,May,19,9,Monday,False,2022
130,2022-05-10,2022,2,5,May,19,10,Tuesday,False,2022
131,2022-05-11,2022,2,5,May,19,11,Wednesday,False,2022
132,2022-05-12,2022,2,5,May,19,12,Thursday,False,2022
133,2022-05-13,2022,2,5,May,19,13,Friday,False,2022
134,2022-05-14,2022,2,5,May,19,14,Saturday,True,2022
135,2022-05-15,2022,2,5,May,19,15,Sunday,True,2022
136,2022-05-16,2022,2,5,May,20,16,Monday,False,2022
137,2022-05-17,2022,2,5,May,20,17,Tuesday,False,2022
138,2022-05-18,2022,2,5,May,20,18,Wednesday,False,2022
139,2022-05-19,2022,2,5,May,20,19,Thursday,False,2022
140,2022-05-20,2022,2,5,May,20,20,Friday,False,2022
141,2022-05-21,2022,2,5,May,20,21,Saturday,True,2022
142,2022-05-22,2022,2,5,May,20,22,Sunday,True,2022
143,2022-05-23,2022,2,5,May,21,23,Monday,False,2022
144,2022-05-24,2022,2,5,May,21,24,Tuesday,False,2022
145,2022-05-25,2022,2,5,May,21,25,Wednesday,False,2022
146,2022-05-26,2022,2,5,May,21,26,Thursday,False,2022
147,2022-05-27,2022,2,5,May,21,27,Friday,False,2022
148,2022-05-28,2022,2,5,May,21,28,Saturday,True,2022
149,2022-05-29,2022,2,5,May,21,29,Sunday,True,2022
150,2022-05-30,2022,2,5,May,22,30,Monday,False,2022
151,2022-05-31,2022,2,5,May,22,31,Tuesday,False,2022
152,2022-06-01,2022,2,6,June,22,1,Wednesday,False,2022
153,2022-06-02,2022,2,6,June,22,2,Thursday,False,2022
154,2022-06-03,2022,2,6,June,22,3,Friday,False,2022
155,2022-06-04,2022,2,6,June,22,4,Saturday,True,2022
156,2022-06-05,2022,2,6,June,22,5,Sunday,True,2022
157,2022-06-06,2022,2,6,June,23,6,Monday,False,2022
158,2022-06-07,2022,2,6,June,23,7,Tuesday,False,2022
159,2022-06-08,2022,2,6,June,23,8,Wednesday,False,2022
160,2022-06-09,2022,2,6,June,23,9,Thursday,False,2022
161,2022-06-10,2022,2,6,June,23,10,Friday,False,2022
162,2022-06-11,2022,2,6,June,23,11,Saturday,True,2022
163,2022-06-12,2022,2,6,June,23,12,Sunday,True,2022
164,2022-06-13,2022,2,6,June,24,13,Monday,False,2022
165,2022-06-14,2022,2,6,June,24,14,Tuesday,False,2022
166,2022-06-15,2022,2,6,June,24,15,Wednesday,False,2022
167,2022-06-16,2022,2,6,June,24,16,Thursday,False,2022
168,2022-06-17,2022,2,6,June,24,17,Friday,False,2022
169,2022-06-18,2022,2,6,June,24,18,Saturday,True,2022
170,2022-06-19,2022,2,6,June,24,19,Sunday,True,2022
171,2022-06-20,2022,2,6,June,25,20,Monday,False,2022
172,2022-06-21,2022,2,6,June,25,21,Tuesday,False,2022
173,2022-06-22,2022,2,6,June,25,22,Wednesday,False,2022
174,2022-06-23,2022,2,6,June,25,23,Thursday,False,2022
175,2022-06-24,2022,2,6,June,25,24,Friday,False,2022
176,2022-06-25,2022,2,6,June,25,25,Saturday,True,2022
177,2022-06-26,2022,2,6,June,25,26,Sunday,True,2022
178,2022-06-27,2022,2,6,June,26,27,Monday,False,2022
179,2022-06-28,2022,2,6,June,26,28,Tuesday,False,2022
180,2022-06-29,2022,2,6,June,26,29,Wednesday,False,2022
181,2022-06-30,2022,2,6,June,26,30,Thursday,False,2022
182,2022-07-01,2022,3,7,July,26,1,Friday,False,2022
183,2022-07-02,2022,3,7,July,26,2,Saturday,True,2022
184,2022-07-03,2022,3,7,July,26,3,Sunday,True,2022
185,2022-07-04,2022,3,7,July,27,4,Monday,False,2022
186,2022-07-05,2022,3,7,July,27,5,Tuesday,False,2022
187,2022-07-06,2022,3,7,July,27,6,Wednesday,False,2022
188,2022-07-07,2022,3,7,July,27,7,Thursday,False,2022
189,2022-07-08,2022,3,7,July,27,8,Friday,False,2022
190,2022-07-09,2022,3,7,July,27,9,Saturday,True,2022
191,2022-07-10,2022,3,7,July,27,10,Sunday,True,2022
192,2022-07-11,2022,3,7,July,28,11,Monday,False,2022
193,2022-07-12,2022,3,7,July,28,12,Tuesday,False,2022
194,2022-07-13,2022,3,7,July,28,13,Wednesday,False,2022
195,2022-07-14,2022,3,7,July,28,14,Thursday,False,2022
196,2022-07-15,2022,3,7,July,28,15,Friday,False,2022
197,2022-07-16,2022,3,7,July,28,16,Saturday,True,2022
198,2022-07-17,2022,3,7,July,28,17,Sunday,True,2022
199,2022-07-18,2022,3,7,July,29,18,Monday,False,2022
200,2022-07-19,2022,3,7,July,29,19,Tuesday,False,2022
201,2022-07-20,2022,3,7,July,29,20,Wednesday,False,2022
202,2022-07-21,2022,3,7,July,29,21,Thursday,False,2022
203,2022-07-22,2022,3,7,July,29,22,Friday,False,2022
204,2022-07-23,2022,3,7,July,29,23,Saturday,True,2022
205,2022-07-24,2022,3,7,July,29,24,Sunday,True,2022
206,2022-07-25,2022,3,7,July,30,25,Monday,False,2022
207,2022-07-26,2022,3,7,July,30,26,Tuesday,False,2022
208,2022-07-27,2022,3,7,July,30,27,Wednesday,False,2022
209,2022-07-28,2022,3,7,July,30,28,Thursday,False,2022
210,2022-07-29,2022,3,7,July,30,29,Friday,False,2022
211,2022-07-30,2022,3,7,July,30,30,Saturday,True,2022
212,2022-07-31,2022,3,7,July,30,31,Sunday,True,2022
213,2022-08-01,2022,3,8,August,31,1,Monday,False,2022
214,2022-08-02,2022,3,8,August,31,2,Tuesday,False,2022
215,2022-08-03,2022,3,8,August,31,3,Wednesday,False,2022
216,2022-08-04,2022,3,8,August,31,4,Thursday,False,2022
217,2022-08-05,2022,3,8,August,31,5,Friday,False,2022
218,2022-08-06,2022,3,8,August,31,6,Saturday,True,2022
219,2022-08-07,2022,3,8,August,31,7,Sunday,True,2022
220,2022-08-08,2022,3,8,August,32,8,Monday,False,2022
221,2022-08-09,2022,3,8,August,32,9,Tuesday,False,2022
222,2022-08-10,2022,3,8,August,32,10,Wednesday,False,2022
223,2022-08-11,2022,3,8,August,32,11,Thursday,False,2022
